Mean,Std Dev,Q1,Q2,Q3
-0.988713919863568,0.015469650506306167,-1.0,-1.0,-0.9787234042553191
-0.9893012407399439,0.015378109211541946,-1.0,-1.0,-0.9787234042553191
-0.9890975249919098,0.01550142687227771,-1.0,-1.0,-0.9787234042553191
-0.9880969472643151,0.015762143721920332,-1.0,-1.0,-0.9787234042553191
-0.9862002663971621,0.01615372986252926,-1.0,-0.9892557711533208,-0.978494623655914
-0.983401662028103,0.016499133870394037,-1.0,-0.9791666666666666,-0.978494623655914
-0.9795795717536635,0.01669313010608255,-0.9947364964965087,-0.9789473684210527,-0.9782608695652174
-0.9749466725256697,0.016700928328147183,-0.979381443298969,-0.9787234042553191,-0.9650240127925805
-0.9691876865748436,0.01665107465441647,-0.9789473684210527,-0.9782608695652174,-0.9578947368421052
-0.9625251972365997,0.01706414543095316,-0.978494623655914,-0.9607603064351979,-0.956989247311828
-0.9548156977950948,0.017418689544905785,-0.9645962118402716,-0.9574468085106383,-0.9448822278967035
-0.9459508079021212,0.01762679049098848,-0.9578947368421052,-0.9518572325804542,-0.9361702127659575
-0.9361340397267843,0.018175342973235597,-0.9509560647645083,-0.9368421052631579,-0.9266823949756064
-0.9247165403599795,0.018699945179111336,-0.9368421052631579,-0.9292580390301086,-0.9144983929535702
-0.911917798345642,0.019517543741639845,-0.9259146724497973,-0.9148936170212766,-0.8995902384064809
-0.8973815047715552,0.020584124985016036,-0.9135053372995512,-0.8991299268869137,-0.8871296165762198
-0.8803348910514569,0.022193793457610807,-0.8948116358967635,-0.883998160060364,-0.8683348817408996
-0.8594446422270362,0.0242850256894528,-0.8766373833643042,-0.8631662159993915,-0.8454248465034657
-0.8341629408897676,0.026680807258066375,-0.8533483757462281,-0.8383416812481135,-0.8180626529512952
-0.8050870487299714,0.02906513149766499,-0.8267191915586324,-0.8095028982679784,-0.7868849263170149
-0.7732839395014568,0.031234176473541264,-0.7966990363166546,-0.7773986837926761,-0.7524112820760757
-0.7394845770768579,0.03312572374614283,-0.7649906398748867,-0.7427403896983337,-0.7162924725367907
-0.7041061008730227,0.03463397089629623,-0.7305730906439429,-0.7067226156755662,-0.6798828120478856
-0.6676171506895827,0.035595352738815256,-0.6947940502630742,-0.6698268712301214,-0.6424322179022165
-0.6304970498121959,0.03588288534768263,-0.6576890198487301,-0.6321120370471569,-0.6050548907305465
-0.593000279896126,0.0355521512075012,-0.6196607032341325,-0.5947319914421808,-0.5677510741316498
-0.55523270736876,0.03488978746115861,-0.5810467731270044,-0.5575659028653844,-0.5308128714361994
-0.5171832740533545,0.03419856702066878,-0.5422731763859533,-0.519708252984179,-0.4934054144262756
-0.47880121586713004,0.03365048550806259,-0.5030754058619722,-0.4813263807757783,-0.4554861876512556
-0.43983654014641227,0.033113181912157535,-0.46341815639676665,-0.44161872157809245,-0.4170871489464934
-0.4002093625781783,0.03230803009800533,-0.4226817642256461,-0.40148730531687127,-0.3784177800609775
-0.36023387333150114,0.03139815137620313,-0.3814843562563734,-0.3613647309200021,-0.33917869708662896
-0.3201412974269746,0.030662480249319987,-0.3406485003839112,-0.3210202986141809,-0.30003111696603446
-0.28001965777054044,0.030127853140750793,-0.29968196965837673,-0.2803558437651803,-0.26026058592108664
-0.2398128521016938,0.02958458586061352,-0.2585282892438576,-0.23973131043185514,-0.22050569841302392
-0.1993774183645229,0.029110891166212984,-0.2170062247777218,-0.19910426868576375,-0.18032836672956692
-0.15884133774627146,0.028891839323308792,-0.1765098056634922,-0.15811982832669838,-0.14011098153402884
-0.11830189376517948,0.028875664453996232,-0.13595168491508067,-0.11747896247410189,-0.09946028910788116
-0.07771578002825362,0.028953812658002065,-0.0952119462548456,-0.07682896033431036,-0.05871311720436556
-0.037281291420912514,0.029241596749785142,-0.05535768208992562,-0.036240081421667444,-0.018163155605329176
0.0027411994511731103,0.02963935940955469,-0.01564540637958596,0.004093167821422446,0.02217148844673962
0.042434478651695286,0.0300094504433774,0.023618854935628254,0.04405805998107868,0.062180305294156184
0.08249961676010274,0.030180886769961248,0.0637927571479056,0.08401553121134535,0.10228766762949612
0.12329833971719499,0.030281686888623347,0.10446097644748331,0.1247369246623797,0.14334055098646056
0.16447109776823565,0.030287591217008036,0.14556392966272486,0.16568495827591934,0.18437106614602042
0.20566434068758865,0.0301726965015319,0.18688128057490044,0.20665253885441065,0.2254144696306745
0.2467112292421933,0.029998083732762765,0.2276457802252411,0.24750516441805337,0.26696101565652897
0.2873902386767209,0.0299207362239549,0.267891020402947,0.2887353915234895,0.3076894476777322
0.3273581665144358,0.03020740906658212,0.307011291122776,0.3291865058241952,0.3477498572474961
0.366560101932286,0.03092133013722991,0.3458388230257786,0.3685812766252249,0.38776138931700177
0.4053806035469289,0.03205850281112497,0.3837129927453708,0.40773796299448783,0.42782089914687443
0.4443405968327311,0.033244492777108586,0.4216970798866708,0.44629392158383197,0.4681431833067441
0.4838552088656525,0.03421573929727749,0.4593877305166867,0.4856672134113852,0.5089452012108365
0.5239041780227638,0.03482618426127776,0.49809867019792653,0.5258567197314781,0.5497571044704934
0.5641324826098546,0.03538459455001699,0.5375472772619749,0.5659765259660587,0.5904472976010963
0.6040002161101166,0.036264856317936335,0.5771770102102399,0.6056455627676687,0.6309531210162551
0.6431396208707618,0.03740144962090161,0.6156435759233322,0.6448843194550209,0.6703464959255233
0.6814668796981014,0.03855781662580154,0.6531163206428033,0.6825906812496638,0.7096446825274758
0.7184781551914936,0.039655768370735055,0.689246482978688,0.7195352731128073,0.746597693783613
0.7532426798909404,0.0404696211476561,0.7228501925238912,0.753439219496207,0.7815812525952102
0.7849233538550182,0.040765885958577136,0.7538677610548439,0.7841285587471858,0.8133631987726048
